Kod;nazwa;wykształcenie;Wartość i precyzja;Rok;wartosc;Jednostka miary;Atrybut
1000000;ŁÓDZKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;136;tys. osób;
1000000;ŁÓDZKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;201;tys. osób;
1061000;powiat Łódź;ogółem;wartość liczbowa;2023;241;tys. osób;
1061000;powiat Łódź;wyższe;wartość liczbowa;2023;48;tys. osób;
1061000;powiat Łódź;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;70;tys. osób;
1061000;powiat Łódź;średnie ogólnokształcące;wartość liczbowa;2023;41;tys. osób;
1061000;powiat Łódź;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;38;tys. osób;
1061000;powiat Łódź;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;44;tys. osób;
1200000;MAŁOPOLSKIE;ogółem;wartość liczbowa;2023;920;tys. osób;
1200000;MAŁOPOLSKIE;wyższe;wartość liczbowa;2023;95;tys. osób;
1200000;MAŁOPOLSKIE;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;199;tys. osób;
1200000;MAŁOPOLSKIE;średnie ogólnokształcące;wartość liczbowa;2023;85;tys. osób;
1200000;MAŁOPOLSKIE;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;253;tys. osób;
1200000;MAŁOPOLSKIE;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;288;tys. osób;
1261000;powiat Kraków;ogółem;wartość liczbowa;2023;229;tys. osób;
1261000;powiat Kraków;wyższe;wartość liczbowa;2023;64;tys. osób;
1261000;powiat Kraków;policealne oraz średnie zawodowe/branżowe;wartość liczbowa;2023;52;tys. osób;
1261000;powiat Kraków;średnie ogólnokształcące;wartość liczbowa;2023;42;tys. osób;
1261000;powiat Kraków;zasadnicze zawodowe/branżowe;wartość liczbowa;2023;33;tys. osób;
1261000;powiat Kraków;gimnazjalne, podstawowe i niższe;wartość liczbowa;2023;38;tys. osób;
