kod;nazwa;płeć;wartość i precyzja;rok;wartosc;jednostka miary;atrybut
2600000;ŚWIĘTOKRZYSKIE;ogółem;wartość liczbowa;2023;419;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;kobiety;wartość liczbowa;2023;233;tys. osób;
2600000;ŚWIĘTOKRZYSKIE;mężczyźni;wartość liczbowa;2023;186;tys. osób;
2661000;powiat Kielce;ogółem;wartość liczbowa;2023;85;tys. osób;
2661000;powiat Kielce;kobiety;wartość liczbowa;2023;43;tys. osób;
2661000;powiat Kielce;mężczyźni;wartość liczbowa;2023;42;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;ogółem;wartość liczbowa;2023;475;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;kobiety;wartość liczbowa;2023;266;tys. osób;
2800000;WARMIŃSKO-MAZURSKIE;mężczyźni;wartość liczbowa;2023;209;tys. osób;
2862000;powiat Olsztyn;ogółem;wartość liczbowa;2023;107;tys. osób;
2862000;powiat Olsztyn;kobiety;wartość liczbowa;2023;55;tys. osób;
2862000;powiat Olsztyn;mężczyźni;wartość liczbowa;2023;52;tys. osób;
3000000;WIELKOPOLSKIE;ogółem;wartość liczbowa;2023;1369;tys. osób;
3000000;WIELKOPOLSKIE;kobiety;wartość liczbowa;2023;774;tys. osób;
3000000;WIELKOPOLSKIE;mężczyźni;wartość liczbowa;2023;595;tys. osób;
3064000;powiat Poznań;ogółem;wartość liczbowa;2023;286;tys. osób;
3064000;powiat Poznań;kobiety;wartość liczbowa;2023;151;tys. osób;
3064000;powiat Poznań;mężczyźni;wartość liczbowa;2023;135;tys. osób;
3200000;ZACHODNIOPOMORSKIE;ogółem;wartość liczbowa;2023;514;tys. osób;
3200000;ZACHODNIOPOMORSKIE;kobiety;wartość liczbowa;2023;286;tys. osób;
3200000;ZACHODNIOPOMORSKIE;mężczyźni;wartość liczbowa;2023;228;tys. osób;
3262000;powiat Szczecin;ogółem;wartość liczbowa;2023;232;tys. osób;
3262000;powiat Szczecin;kobiety;wartość liczbowa;2023;122;tys. osób;
3262000;powiat Szczecin;mężczyźni;wartość liczbowa;2023;110;tys. osób;
